Unnamed: 0,iso3,country,hdicode,hdi_rank_2022,gii_rank_2022,year,hdi,life_expectancy,pop_millions,hdi_f,hdi_m,life_expec_f,life_expec_m,expec_yr_school,expec_yr_school_f,expec_yr_school_m,mean_yr_school,mean_yr_school_f,mean_yr_school_m,gross_inc_percap,gross_inc_percap_f,gross_inc_percap_m,gender_development,gender_inequality,secondary_education_f_%,secondary_education_m_%,seats_in_parliament_f_%,seats_in_parliament_m_%,labour_participation_f_%,labour_participation_m_%,co2_emission_tons,mat_footprint_percap_tons
5808,TGO,Togo,Low,163.0,147.0,2022,0.547,61.588,8.8486985,0.505056237,0.595597935,62.227,60.946,12.96236085,12.54580104,14.30199431,5.590314011,4.189005873,7.173578732,2214.233649,1743.967858,2679.451158,0.848,0.578,13.50093241,33.07840422,18.68131868,81.31868132,79.78,98.58,0.295656513,2.4659
5841,TON,Tonga,High,98.0,115.0,2022,0.739,71.27,0.1068575,0.736014254,0.738976359,74.123,68.581,16.28749084,17.36092949,15.22014999,10.88028609,10.95345124,10.79560787,6360.178905,5050.794003,7698.341634,0.996,0.462,93.74305134,93.38483877,3.703703704,96.2962963,42.96,54.89,1.803201373,
5874,TTO,Trinidad and Tobago,Very High,60.0,64.0,2022,0.814,74.708,1.5310445,0.808990149,0.81528778,78.153,71.307,14.1010764,14.4262109,13.75127715,11.73800258,11.8669197,11.61312459,22473.03876,17088.10549,28006.77469,0.992,0.264,86.02335869,81.88103187,32.43243243,67.56756757,47.28,62.37,23.28987463,
5907,TUN,Tunisia,High,101.0,59.0,2022,0.732,74.263,12.356117,0.697668769,0.751413753,77.408,71.367,14.61953746,15.51537756,13.75383953,7.953393173,7.277901917,8.691025971,10296.6496,5198.379008,15528.15685,0.928,0.237,40.01865832,47.17494938,26.26728111,73.73271889,29.25,71.81,2.874056528,6.722
5940,TUR,Türkiye,Very High,45.0,63.0,2022,0.855,78.475,85.341241,0.824979289,0.876372827,81.495,75.38,19.68494987,19.56439018,19.80443954,8.811284129,8.07304427,9.565563719,32833.53512,20537.51796,45076.75429,0.941,0.259,59.08446032,78.12152062,17.35395189,82.64604811,35.11,71.43,5.340025274,13.8333
5973,TKM,Turkmenistan,High,94.0,,2022,0.744,69.41,6.4307705,,,72.916,65.916,13.24057961,13.24944973,13.23244953,11.14299353,10.83326343,11.47497743,12859.87406,,,,,98.05849678,98.43949646,25.73099415,74.26900585,,,11.03383789,10.6776
6006,TUV,Tuvalu,Medium,132.0,,2022,0.653,64.854,0.0113115,0.643276599,0.659490041,69.391,61.136,12.10158014,12.42263985,11.83052015,10.64458626,10.46696417,10.81373917,4754.453732,3378.31189,6062.607191,0.975,,58.06927872,58.50217056,6.25,93.75,20.03,29.63,1.023741521,
6039,UGA,Uganda,Medium,159.0,138.0,2022,0.55,63.638,47.249585,0.521807851,0.580322356,65.703,61.486,11.49553237,11.14553059,11.89354635,6.235476362,5.15520031,7.698595172,2240.585404,1890.385283,2597.473697,0.899,0.527,10.79458253,20.43357187,33.81294964,66.18705036,74.53,84.24,0.132002209,3.2829
6072,UKR,Ukraine,High,100.0,48.0,2022,0.734,68.564,39.701739,0.741323069,0.726191704,73.904,63.525,13.32800961,13.54051018,13.12753963,11.12330123,11.43926415,10.72435068,11416.2168,9024.546023,14232.99303,1.021,0.188,95.65286698,93.48713834,20.33096927,79.66903073,47.77,62.87,4.827623136,9.788
6105,ARE,United Arab Emirates,Very High,17.0,7.0,2022,0.937,79.196,9.4411285,0.922939594,0.936027371,81.412,77.72,17.20813942,19.75328064,16.37989998,12.77375031,12.58837032,12.90589046,74103.71494,51509.56703,84087.84953,0.986,0.035,82.02913666,86.14517212,50.0,50.0,55.32,89.45,25.33327567,28.1632
